Institute,Quota,Gender,Year,Academic_Program_Name,Closing_Rank,Opening_Rank,Seat_Type
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",9,9,OPEN (PwD)
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))",184,132,SC
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Engineering Physics and M.Tech. with specialization in Nano Science (5 Years, Bachelor and Master of Technology (Dual Degree))",,801,SC
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Engineering Physics and M.Tech. with specialization in Nano Science (5 Years, Bachelor and Master of Technology (Dual Degree))",50,50,OBC-NCL (PwD)
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Mechanical Engineering (4 Years, Bachelor of Technology)",24,24,OBC-NCL (PwD)
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",4714,3787,OPEN
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",843,843,ST
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Chemical Engineering (4 Years, Bachelor of Technology)",188,188,OPEN (PwD)
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",47,14,ST
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",115,24,OPEN
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",,11,OPEN (PwD)
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Textile Technology (4 Years, Bachelor of Technology)",1719,1105,SC
Indian Institute of Technology Indore,AI,Gender-Neutral,2016,"Mechanical Engineering (4 Years, Bachelor of Technology)",4434,3432,OPEN
Indian Institute of Technology Indore,AI,Gender-Neutral,2016,"Mechanical Engineering (4 Years, Bachelor of Technology)",1206,908,SC
